CLAVE|SUBCLAVE|DESCRIPCION
010.000.5614.00|010.000.5614.00|TALIGLUCERASA ALFA SOLUCION INYECTABLE CADA FRASCO AMPULA CON LIOFILIZADO CONTIENE: TALIGLUCERASA ALFA 200 U. ENVASE CON FRASCO AMPULA CON POLVO LIOFILIZADO.
010.000.4174.00|010.000.4174.00|TERIPARATIDA SOLUCION INYECTABLE CADA MILILITRO CONTIENE: TERIPARATIDA 250 ENVASE CON PLUMA CON CARTUCHO ENSAMBLADO DE 2.4 ML.
010.000.1061.00|010.000.1061.00|TESTOSTERONA SOLUCION INYECTABLE CADA AMPOLLETA CONTIENE: ENANTATO DE TESTOSTERONA 250 MG. ENVASE CON AMPOLLETA CON 1 ML.
010.000.5164.00|010.000.5164.00|TESTOSTERONA CAPSULA CADA CAPSULA CONTIENE: UNDECANOATO DE TESTOSTERONA 40 MG. ENVASE CON 30 CAPSULAS.
010.000.5164.01|010.000.5164.01|TESTOSTERONA CAPSULA CADA CAPSULA CONTIENE: UNDECANOATO DE TESTOSTERONA 40 MG. ENVASE CON 60 CAPSULAS.
010.000.1022.00|010.000.1022.00|TIAMAZOL TABLETA CADA TABLETA CONTIENE: TIAMAZOL 5 MG. ENVASE CON 20 TABLETAS.
010.000.1005.00|010.000.1005.00|TIROXINA - TRIYODOTIRONINA TABLETA CADA TABLETA CONTIENE: TIROXINA 100 µG. TRIYODOTIRONINA 20 µG. ENVASE CON 50 TABLETAS.
010.000.4154.00|010.000.4154.00|VASOPRESINA SOLUCION INYECTABLE CADA AMPOLLETA CONTIENE: VASOPRESINA 20 UI. ENVASE CON UNA AMPOLLETA.
010.000.5615.00|010.000.5615.00|VELAGLUCERASA ALFA SOLUCION INYECTABLE CADA FRASCO AMPULA CON LIOFILIZADO CONTIENE: VELAGLUCERASA ALFA 400 U. ENVASE CON FRASCO AMPULA CON LIOFILIZADO.
010.000.5620.00|010.000.5620.00|VILDAGLIPTINA COMPRIMIDO CADA COMPRIMIDO CONTIENE: VILDAGLIPTINA 50 MG. ENVASE CON 28 COMPRIMIDOS.
010.000.5700.00|010.000.5700.00|VILDAGLIPTINA, METFORMINA COMPRIMIDO CADA COMPRIMIDO CONTIENE: VILDAGLIPTINA 50 MG. CLORHIDRATO DE METFORMINA 500 MG. ENVASE CON 30 COMPRIMIDOS.
010.000.5701.00|010.000.5701.00|VILDAGLIPTINA, METFORMINA COMPRIMIDO CADA COMPRIMIDO CONTIENE: VILDAGLIPTINA 50 MG. CLORHIDRATO DE METFORMINA 850 MG. ENVASE CON 30 COMPRIMIDOS.
010.000.5702.00|010.000.5702.00|VILDAGLIPTINA, METFORMINA COMPRIMIDO CADA COMPRIMIDO CONTIENE: VILDAGLIPTINA 50 MG. CLORHIDRATO DE METFORMINA 1000 MG. ENVASE CON 30 COMPRIMIDOS.
010.000.1344.00|010.000.1344.00|ALBENDAZOL TABLETA CADA TABLETA CONTIENE: ALBENDAZOL 200 MG. ENVASE CON 2 TABLETAS.
010.000.1345.00|010.000.1345.00|ALBENDAZOL SUSPENSION ORAL CADA FRASCO CONTIENE: ALBENDAZOL 400 MG. ENVASE CON 20 ML.
010.000.1347.00|010.000.1347.00|ALBENDAZOL TABLETA CADA TABLETA CONTIENE: ALBENDAZOL 200 MG. ENVASE CON 100 TABLETAS.
010.000.2127.00|010.000.2127.00|AMOXICILINA SUSPENSION ORAL CADA FRASCO CON POLVO CONTIENE: AMOXICILINA TRIHIDRATADA EQUIVALENTE A 7.5 G DE AMOXICILINA. ENVASE CON POLVO PARA 75 ML (500 MG/5 ML).
010.000.2128.00|010.000.2128.00|AMOXICILINA CAPSULA CADA CAPSULA CONTIENE: AMOXICILINA TRIHIDRATADA EQUIVALENTE A 500 MG DE AMOXICILINA. ENVASE CON 12 CAPSULAS.
010.000.2128.01|010.000.2128.01|AMOXICILINA CAPSULA CADA CAPSULA CONTIENE: AMOXICILINA TRIHIDRATADA EQUIVALENTE A 500 MG DE AMOXICILINA. ENVASE CON 15 CAPSULAS.
010.000.2129.00|010.000.2129.00|AMOXICILINA ACIDO CLAVULANICO SUSPENSION ORAL CADA FRASCO CON POLVO CONTIENE: AMOXICILINA TRIHIDRATADA EQUIVALENTE A 1.5 G DE AMOXICILINA. CLAVULANATO DE POTASIO EQUIVALENTE A 375 MG DE ACIDO CLAVULANICO. ENVASE CON 60 ML, CADA 5 ML CON 125 MG DE AMOXICILINA Y 31.25 MG ACIDO CLAVULANICO
010.000.2130.00|010.000.2130.00|AMOXICILINA ACIDO CLAVULANICO SOLUCION INYECTABLE CADA FRASCO AMPULA CON POLVO CONTIENE: AMOXICILINA SODICA EQUIVALENTE A 500 MG DE AMOXICILINA. CLAVULANATO DE POTASIO EQUIVALENTE A 100 MG DE ACIDO CLAVULANICO. ENVASE CON UN FRASCO AMPULA CON O SIN 10 ML DE DILUYENTE.
010.000.2230.00|010.000.2230.00|AMOXICILINA ACIDO CLAVULANICO TABLETA CADA TABLETA CONTIENE: AMOXICILINA TRIHIDRATADA EQUIVALENTE A 500 MG DE AMOXILINA. CLAVULANATO DE POTASIO EQUIVALENTE A 125 MG DE ACIDO CLAVULANICO. ENVASE CON 12 TABLETAS.
010.000.2230.01|010.000.2230.01|AMOXICILINA ACIDO CLAVULANICO TABLETA CADA TABLETA CONTIENE: AMOXICILINA TRIHIDRATADA EQUIVALENTE A 500 MG DE AMOXILINA. CLAVULANATO DE POTASIO EQUIVALENTE A 125 MG DE ACIDO CLAVULANICO. ENVASE CON 16 TABLETAS.
010.000.1929.00|010.000.1929.00|AMPICILINA TABLETA O CAPSULA CADA TABLETA O CAPSULA CONTIENE: AMPICILINA ANHIDRA O AMPICILINA TRIHIDRATADA EQUIVALENTE A 500 MG DE AMPICILINA. ENVASE CON 20 TABLETAS O CAPSULAS.
010.000.1930.00|010.000.1930.00|AMPICILINA SUSPENSION ORAL CADA 5 ML CONTIENEN: AMPICILINA TRIHIDRATADA EQUIVALENTE A 250 MG DE AMPICILINA. ENVASE CON POLVO PARA 60 ML Y DOSIFICADOR
010.000.1938.00|010.000.1938.00|BENCILPENICILINA BENZATINICA COMPUESTA SUSPENSION INYECTABLE CADA FRASCO AMPULA CON POLVO CONTIENE: BENZATINA BENCILPENICILINA EQUIVALENTE A 600 000 UI DE BENCILPENICILINA BENCILPENICILINA PROCAINICA EQUIVALENTE A 300 000 UI DE BENCILPENICILINA BENCILPENICILINA CRISTALINA EQUIVALENTE A 300 000 UI DE BENCILPENICILINA. ENVASE CON UN FRASCO AMPULA Y DILUYENTE CON 3 ML.
010.000.2510.00|010.000.2510.00|BENCILPENICILINA PROCAINICA SUSPENSION INYECTABLE CADA FRASCO AMPULA CON POLVO CONTIENE: ENCILPENICILINA PROCAINICA EQUIVALENTE A 2 400 000 UI DE BENCILPENICILINA. ENVASE CON UN FRASCO AMPULA CON DILUYENTE.
010.000.1923.00|010.000.1923.00|BENCILPENICILINA PROCAINICA CON BENCILPENICILINA CRISTALINA SUSPENSION INYECTABLE CADA FRASCO AMPULA CON POLVO CONTIENE: BENCILPENICILINA PROCAINICA EQUIVALENTE A 300 000 UI DE BENCILPENICILINA. BENCILPENICILINA CRISTALINA EQUIVALENTE A 100 000 UI DE BENCILPENICILINA. ENVASE CON UN FRASCO AMPULA Y 2 ML DE DILUYENTE.
010.000.1924.00|010.000.1924.00|BENCILPENICILINA PROCAINICA CON BENCILPENICILINA CRISTALINA SUSPENSION INYECTABLE CADA FRASCO AMPULA CON POLVO CONTIENE: BENCILPENICILINA PROCAINICA EQUIVALENTE A 600 000 UI DE BENCILPENICILINA. BENCILPENICILINA CRISTALINA EQUIVALENTE A 200 000 UI DE BENCILPENICILINA. ENVASE CON UN FRASCO AMPULA Y 2 ML DE DILUYENTE.
010.000.0071.00|010.000.0071.00|BENZATINA BENCILPENICILINA SUSPENSION INYECTABLE CADA FRASCO AMPULA CON POLVO CONTIENE: BENZATINA BENCILPENICILINA EQUIVALENTE A 600 000 UI DE BENCILPENICILINA. ENVASE CON UN FRASCO AMPULA Y 5 ML DE DILUYENTE.
010.000.1925.00|010.000.1925.00|BENZATINA BENCILPENICILINA SUSPENSION INYECTABLE CADA FRASCO AMPULA CON POLVO CONTIENE: BENZATINA BENCILPENICILINA EQUIVALENTE A 1 200 000 UI DE BENCILPENICILINA. ENVASE CON UN FRASCO AMPULA Y 5 ML DE DILUYENTE.
010.000.2509.00|010.000.2509.00|BENZATINA BENCILPENICILINA SUSPENSION INYECTABLE CADA FRASCO AMPULA CON POLVO CONTIENE: BENZATINA BENCILPENICILINA EQUIVALENTE A 2 400 000 UI DE BENCILPENICILINA. ENVASE CON UN FRASCO AMPULA Y 5 ML DE DILUYENTE.
010.000.2131.00|010.000.2131.00|CEFACLOR CAPSULA CADA CAPSULA CONTIENE: CEFACLOR MONOHIDRATADO EQUIVALENTE A 250 MG DE CEFACLOR. ENVASE CON 15 CAPSULAS.
010.000.2163.00|010.000.2163.00|CEFACLOR SUSPENSION ORAL EL FRASCO CON POLVO CONTIENE: CEFACLOR 7.5 G. ENVASE PARA 150 ML (250 MG/ 5 ML).
010.000.1939.00|010.000.1939.00|CEFALEXINA TABLETA O CAPSULA CADA TABLETA O CAPSULA CONTIENE: CEFALEXINA MONOHIDRATADA EQUIVALENTE A 500 MG DE CEFALEXINA. ENVASE CON 20 TABLETAS O CAPSULAS.
010.000.4255.00|010.000.4255.00|CIPROFLOXACINO TABLETA O CAPSULA CADA CAPSULA O TABLETA CONTIENE: CLORHIDRATO DE CIPROFLOXACINO MONOHIDRATADO EQUIVALENTE A 250 MG DE CIPROFLOXACINO. ENVASE CON 8 CAPSULAS O TABLETAS.
010.000.2132.00|010.000.2132.00|CLARITROMICINA TABLETA CADA TABLETA CONTIENE: CLARITROMICINA 250 MG. ENVASE CON 10 TABLETAS.
010.000.2133.00|010.000.2133.00|CLINDAMICINA CAPSULA CADA CAPSULA CONTIENE: CLORHIDRATO DE CLINDAMICINA EQUIVALENTE A 300 MG DE CLINDAMICINA ENVASE CON 16 CAPSULAS.
010.000.1991.00|010.000.1991.00|CLORANFENICOL CAPSULA CADA CAPSULA CONTIENE: CLORANFENICOL 500 MG. ENVASE CON 20 CAPSULAS.
010.000.2030.00|010.000.2030.00|CLOROQUINA TABLETA CADA TABLETA CONTIENE: FOSFATO DE CLOROQUINA EQUIVALENTE A 150 MG DE CLOROQUINA. ENVASE CON 1 000 TABLETAS.
010.000.2030.01|010.000.2030.01|CLOROQUINA TABLETA CADA TABLETA CONTIENE: FOSFATO DE CLOROQUINA EQUIVALENTE A 150 MG DE CLOROQUINA. ENVASE CON 30 TABLETAS.
010.000.0906.00|010.000.0906.00|DAPSONA TABLETA CADA TABLETA CONTIENE: DAPSONA 100 MG. ENVASE CON 1000 TABLETAS.
010.000.1926.00|010.000.1926.00|DICLOXACILINA CAPSULA O COMPRIMIDO CADA CAPSULA O COMPRIMIDO CONTIENE: DICLOXACILINA SODICA 500 MG. ENVASE CON 20 CAPSULAS O COMPRIMIDOS.
010.000.1927.00|010.000.1927.00|DICLOXACILINA SUSPENSION ORAL CADA 5 ML CONTIENEN: DICLOXACILINA SODICA 250 MG. ENVASE CON POLVO PARA 60 ML Y DOSIFICADOR.
010.000.1301.00|010.000.1301.00|DIYODOHIDROXIQUINOLEINA TABLETA CADA TABLETA CONTIENE: DIYODOHIDROXI- QUINOLEINA 650 MG. ENVASE CON 60 TABLETAS.
010.000.1302.00|010.000.1302.00|DIYODOHIDROXIQUINOLEINA SUSPENSION ORAL CADA 5 ML CONTIENE: DIYODOHIDROXI-QUINOLEINA 210 MG. ENVASE CON 120 ML Y DOSIFICADOR.
010.000.1940.00|010.000.1940.00|DOXICICLINA CAPSULA O TABLETA CADA CAPSULA O TABLETA CONTIENE: HICLATO DE DOXICICLINA EQUIVALENTE A 100 MG DE DOXICILINA. ENVASE CON 10 CAPSULAS O TABLETAS.
010.000.1941.00|010.000.1941.00|DOXICICLINA CAPSULA O TABLETA CADA CAPSULA O TABLETA CONTIENE: HICLATO DE DOXICICLINA EQUIVALENTE A 50 MG DE DOXICILINA. ENVASE CON 28 CAPSULAS O TABLETAS.
010.000.1971.00|010.000.1971.00|ERITROMICINA CAPSULA O TABLETA CADA CAPSULA O TABLETA CONTIENE: ESTEARATO DE ERITROMICINA EQUIVALENTE A 500 MG DE ERITROMICINA. ENVASE CON 20 CAPSULAS O TABLETAS.
010.000.1972.00|010.000.1972.00|ERITROMICINA SUSPENSION ORAL CADA 5 ML CONTIENEN: ESTEARATO O ETILSUCCINATO O ESTOLATO DE ERITROMICINA EQUIVALENTE A 250 MG DE ERITROMICINA. ENVASE CON POLVO PARA 100 ML Y DOSIFICADOR.
010.000.2403.00|010.000.2403.00|ESTREPTOMICINA SOLUCION INYECTABLE EL FRASCO AMPULA CON POLVO CONTIENE: SULFATO DE ESTREPTOMICINA EQUIVALENTE A 1 G DE ESTREPTOMICINA. ENVASE CON UN FRASCO AMPULA Y DILUYENTE CON 2 ML.
010.000.2405.00|010.000.2405.00|ETAMBUTOL TABLETA CADA TABLETAS CONTIENE: CLORHIDRATO DE ETAMBUTOL 400 MG. ENVASE CON 50 TABLETAS.
010.000.1954.00|010.000.1954.00|GENTAMICINA SOLUCION INYECTABLE CADA AMPOLLETA CONTIENE: SULFATO DE GENTAMICINA EQUIVALENTE A 80 MG DE GENTAMICINA. ENVASE CON AMPOLLETA CON 2 ML.
010.000.1955.00|010.000.1955.00|GENTAMICINA SOLUCION INYECTABLE CADA AMPOLLETA CONTIENE: SULFATO DE GENTAMICINA EQUIVALENTE A 20 MG DE GENTAMICINA BASE. ENVASE CON AMPOLLETA CON 2 ML.
010.000.2404.00|010.000.2404.00|ISONIAZIDA TABLETA CADA TABLETA CONTIENE: ISONIAZIDA: 100 MG. ENVASE CON 200 TABLETAS.
010.000.2416.00|010.000.2416.00|ISONIAZIDA Y ETAMBUTOL COMPRIMIDO O GRAGEA CADA COMPRIMIDO O GRAGEA CONTIENE: ISONIAZIDA 100 MG. CLORHIDRATO DE ETAMBUTOL 300 MG. ENVASE CON 100 COMPRIMIDOS O GRAGEAS.
010.000.2415.00|010.000.2415.00|ISONIAZIDA Y RIFAMPICINA COMPRIMIDO O CAPSULA CADA COMPRIMIDO O CAPSULA CONTIENE: ISONIAZIDA 200 MG.RIFAMPICINA 150 MG. ENVASE CON 120 COMPRIMIDOS O CAPSULAS.
010.000.2417.00|010.000.2417.00|ISONIAZIDA Y RIFAMPICINA TABLETA RECUBIERTA CADA TABLETA RECUBIERTA CONTIENE: ISONIAZIDA 400 MG. RIFAMPICINA 300 MG. ENVASE CON 90 TABLETAS RECUBIERTAS.
010.000.2418.00|010.000.2418.00|ISONIAZIDA, RIFAMPICINA, PIRAZINAMIDA, ETAMBUTOL TABLETA CADA TABLETA CONTIENE: ISONIAZIDA 75 MG. RIFAMPICINA 150 MG. PIRAZINAMIDA 400 MG. CLORHIDRATO DE ETAMBUTOL 300 MG. ENVASE CON 240 TABLETAS.
010.000.2018.00|010.000.2018.00|ITRACONAZOL CAPSULA CADA CAPSULA CONTIENE: ITRACONAZOL 100 MG. ENVASE CON 15 CAPSULAS.
010.000.2016.00|010.000.2016.00|KETOCONAZOL TABLETA CADA TABLETA CONTIENE: KETOCONAZOL 200 MG. ENVASE CON 10 TABLETAS.
010.000.2136.00|010.000.2136.00|MEBENDAZOL TABLETA CADA TABLETA CONTIENE: MEBENDAZOL 100 MG. ENVASE CON 6 TABLETAS.
010.000.2333.00|010.000.2333.00|METENAMINA TABLETA CADA TABLETA CONTIENE: HIPURATO DE METENAMINA 500 MG. ENVASE CON 30 TABLETAS.
010.000.1308.00|010.000.1308.00|METRONIDAZOL TABLETA CADA TABLETA CONTIENE: METRONIDAZOL 500 MG. ENVASE CON 20 TABLETAS.
010.000.1308.01|010.000.1308.01|METRONIDAZOL TABLETA CADA TABLETA CONTIENE: METRONIDAZOL 500 MG. ENVASE CON 30 TABLETAS.
010.000.1310.00|010.000.1310.00|METRONIDAZOL SUSPENSION ORAL CADA 5 ML CONTIENEN: BENZOILO DE METRONIDAZOL EQUIVALENTE A 250 MG DE METRONIDAZOL. ENVASE CON 120 ML Y DOSIFICADOR.
010.000.4260.00|010.000.4260.00|NISTATINA SUSPENSION ORAL CADA FRASCO CON POLVO CONTIENE: NISTATINA 2 400 000 UI. ENVASE PARA 24 ML.
010.000.2519.00|010.000.2519.00|NITAZOXANIDA TABLETA CADA TABLETA CONTIENE: NITAZOXANIDA 200 MG. ENVASE CON 6 TABLETAS.
010.000.2523.00|010.000.2523.00|NITAZOXANIDA GRAGEA O TABLETA RECUBIERTA CADA GRAGEA O TABLETA RECUBIERTA CONTIENE: NITAZOXANIDA 500 MG. ENVASE CON 6 GRAGEAS O TABLETAS RECUBIERTAS.
010.000.2523.01|010.000.2523.01|NITAZOXANIDA GRAGEA O TABLETA RECUBIERTA CADA GRAGEA O TABLETA RECUBIERTA CONTIENE: NITAZOXANIDA 500 MG. ENVASE CON 10 GRAGEAS O TABLETAS RECUBIERTAS.
010.000.2523.02|010.000.2523.02|NITAZOXANIDA GRAGEA O TABLETA RECUBIERTA CADA GRAGEA O TABLETA RECUBIERTA CONTIENE: NITAZOXANIDA 500 MG. ENVASE CON 14 GRAGEAS O TABLETAS RECUBIERTAS.
010.000.2524.00|010.000.2524.00|NITAZOXANIDA SUSPENSION ORAL CADA 5 ML CONTIENEN NITAZOXANIDA 100 MG. ENVASE CON 30 ML.
010.000.2524.01|010.000.2524.01|NITAZOXANIDA SUSPENSION ORAL CADA 5 ML CONTIENEN NITAZOXANIDA 100 MG. ENVASE CON 60 ML .
010.000.2524.02|010.000.2524.02|NITAZOXANIDA SUSPENSION ORAL CADA 5 ML CONTIENEN NITAZOXANIDA 100 MG. ENVASE CON 100 ML.
010.000.1911.00|010.000.1911.00|NITROFURANTOINA CAPSULA CADA CAPSULA CONTIENE: NITROFURANTOINA 100 MG. ENVASE CON 40 CAPSULAS.
010.000.5302.00|010.000.5302.00|NITROFURANTOINA SUSPENSION ORAL CADA 100 ML CONTIENEN: NITROFURANTOINA 500 MG. ENVASE CON 120 ML (25 MG/ 5 ML).
010.000.2138.00|010.000.2138.00|PIRANTEL TABLETA CADA TABLETA CONTIENE: PAMOATO DE PIRANTEL 250 MG. ENVASE CON 6 TABLETAS.
010.000.2413.00|010.000.2413.00|PIRAZINAMIDA TABLETA CADA TABLETA CONTIENE: PIRAZINAMIDA 500 MG. ENVASE CON 50 TABLETAS.
010.000.1346.00|010.000.1346.00|PRAZICUANTEL TABLETA CADA TABLETA CONTIENE: PRAZICUANTEL 150 MG. ENVASE CON 1 000 TABLETAS.
010.000.2040.00|010.000.2040.00|PRAZICUANTEL TABLETA CADA TABLETA CONTIENE: PRAZICUANTEL 600 MG. ENVASE CON 25 TABLETAS.
010.000.2031.00|010.000.2031.00|PRIMAQUINA TABLETA CADA TABLETA CONTIENE: FOSFATO DE PRIMAQUINA EQUIVALENTE A 5 MG DE PRIMAQUINA. ENVASE CON 20 TABLETAS.
010.000.2032.00|010.000.2032.00|PRIMAQUINA TABLETA CADA TABLETA CONTIENE: FOSFATO DE PRIMAQUINA EQUIVALENTE A 15 MG DE PRIMAQUINA. ENVASE CON 20 TABLETAS.
010.000.1314.00|010.000.1314.00|QUINFAMIDA TABLETA CADA TABLETA CONTIENE: QUINFAMIDA 300 MG. ENVASE CON UNA TABLETA.
010.000.2034.00|010.000.2034.00|QUININA TABLETA CADA TABLETA CONTIENE: SULFATO DE QUININA 300 MG. ENVASE CON 30 TABLETAS.
010.000.2409.00|010.000.2409.00|RIFAMPICINA CAPSULA, COMPRIMIDO O TABLETA RECUBIERTA. CADA CAPSULA, COMPRIMIDO O TABLETA RECUBIERTA CONTIENE: RIFAMPICINA 300 MG. ENVASE CON 1000 CAPSULAS, COMPRIMIDOS O TABLETAS RECUBIERTAS.
010.000.2409.01|010.000.2409.01|RIFAMPICINA CAPSULA, COMPRIMIDO O TABLETA RECUBIERTA. CADA CAPSULA, COMPRIMIDO O TABLETA RECUBIERTA CONTIENE: RIFAMPICINA 300 MG. ENVASE CON 120 CAPSULAS, COMPRIMIDOS O TABLETAS RECUBIERTAS.
010.000.2410.00|010.000.2410.00|RIFAMPICINA SUSPENSION ORAL CADA 5 ML CONTIENEN: RIFAMPICINA 100 MG. ENVASE CON 120 ML Y DOSIFICADOR.
010.000.2414.00|010.000.2414.00|RIFAMPICINA-ISONIAZIDA-PIRAZINAMIDA TABLETA O GRAGEA CADA TABLETA O GRAGEA CONTIENE: RIFAMPICINA 150 MG. ISONIAZIDA 75 MG. PIRAZINAMIDA 400 MG. ENVASE CON 240 TABLETAS O GRAGEAS.
010.000.1981.00|010.000.1981.00|TETRACICLINA TABLETA O CAPSULA CADA TABLETA O CAPSULA CONTIENE: CLORHIDRATO DE TETRACICLINA 250 MG. ENVASE CON 10 TABLETAS O CAPSULAS.
010.000.2042.00|010.000.2042.00|TINIDAZOL TABLETA CADA TABLETA CONTIENE: TINIDAZOL 500 MG. ENVASE CON 8 TABLETAS.
010.000.1903.00|010.000.1903.00|TRIMETOPRIMA-SULFAMETOXAZOL COMPRIMIDO O TABLETA CADA COMPRIMIDO O TABLETA CONTIENE: TRIMETOPRIMA 80 MG. SULFAMETOXAZOL 400 MG. ENVASE CON 20 COMPRIMIDOS O TABLETAS.
010.000.1904.00|010.000.1904.00|TRIMETOPRIMA-SULFAMETOXAZOL SUSPENSION ORAL CADA 5 ML CONTIENEN: TRIMETOPRIMA 40 MG. SULFAMETOXAZOL 200 MG. ENVASE CON 120 ML Y DOSIFICADOR.
010.000.4272.00|010.000.4272.00|ABACAVIR SOLUCION CADA 100 ML CONTIENEN: SULFATO DE ABACAVIR EQUIVALENTE A 2 G DE ABACAVIR. ENVASE CON UN FRASCO DE 240 ML Y PIPETA DOSIFICADORA.
010.000.4273.00|010.000.4273.00|ABACAVIR TABLETA CADA TABLETA CONTIENE: SULFATO DE ABACAVIR EQUIVALENTE A 300 MG DE ABACAVIR. ENVASE CON 60 TABLETAS.
010.000.4371.00|010.000.4371.00|ABACAVIR-LAMIVUDINA TABLETA CADA TABLETA CONTIENE: SULFATO DE ABACAVIR EQUIVALENTE A 600 MG DE ABACAVIR.LAMIVUDINA 300 MG. ENVASE CON 30 TABLETAS.
010.000.4368.00|010.000.4368.00|ABACAVIR-LAMIVUDINA-ZIDOVUDINA TABLETA CADA TABLETA CONTIENE: SULFATO DE ABACAVIR EQUIVALENTE A 300 MG DE ABACAVIR. LAMIVUDINA 150 MG. ZIDOVUDINA 300 MG. ENVASE CON 60 TABLETAS.
010.000.2126.00|010.000.2126.00|ACICLOVIR COMPRIMIDO O TABLETA CADA COMPRIMIDO O TABLETA CONTIENE: ACICLOVIR 400 MG. ENVASE CON 35 COMPRIMIDOS O TABLETAS.
010.000.4263.00|010.000.4263.00|ACICLOVIR COMPRIMIDO O TABLETA CADA COMPRIMIDO O TABLETA CONTIENE: ACICLOVIR 200 MG. ENVASE CON 25 COMPRIMIDOS O TABLETAS.
010.000.4264.00|010.000.4264.00|ACICLOVIR SOLUCION INYECTABLE CADA FRASCO AMPULA CON LIOFILIZADO CONTIENE: ACICLOVIR SODICO EQUIVALENTE A 250 MG DE ACICLOVIR. ENVASE CON 5 FRASCOS AMPULA.
010.000.2322.00|010.000.2322.00|ACIDO NALIDIXICO TABLETA CADA TABLETA CONTIENE: ACIDO NALIDIXICO 500 MG. ENVASE CON 30 TABLETAS.
010.000.4375.00|010.000.4375.00|ADEFOVIR TABLETA CADA TABLETA CONTIENE: DIPIVOXILO DE ADEFOVIR 10 MG. ENVASE CON 30 TABLETAS.
010.000.2012.00|010.000.2012.00|AMFOTERICINA B SOLUCION INYECTABLE CADA FRASCO AMPULA CON POLVO CONTIENE: AMFOTERICINA B 50 MG. ENVASE CON UN FRASCO AMPULA.
010.000.1956.00|010.000.1956.00|AMIKACINA SOLUCION INYECTABLE CADA AMPOLLETA O FRASCO AMPULA CONTIENE: SULFATO DE AMIKACINA EQUIVALENTE A 500 MG DE AMIKACINA. ENVASE CON 1 AMPOLLETA O FRASCO AMPULA CON 2 ML.
010.000.1956.01|010.000.1956.01|AMIKACINA SOLUCION INYECTABLE CADA AMPOLLETA O FRASCO AMPULA CONTIENE: SULFATO DE AMIKACINA EQUIVALENTE A 500 MG DE AMIKACINA. ENVASE CON 2 AMPOLLETAS O FRASCO AMPULA CON 2 ML.
010.000.1957.00|010.000.1957.00|AMIKACINA SOLUCION INYECTABLE CADA AMPOLLETA O FRASCO AMPULA CONTIENE: SULFATO DE AMIKACINA EQUIVALENTE A 100 MG DE AMIKACINA. ENVASE CON 1 AMPOLLETA O FRASCO AMPULA CON 2 ML.
010.000.1957.01|010.000.1957.01|AMIKACINA SOLUCION INYECTABLE CADA AMPOLLETA O FRASCO AMPULA CONTIENE: SULFATO DE AMIKACINA EQUIVALENTE A 100 MG DE AMIKACINA. ENVASE CON 2 AMPOLLETAS O FRASCO AMPULA CON 2 ML.
010.000.1931.00|010.000.1931.00|AMPICILINA SOLUCION INYECTABLE CADA FRASCO AMPULA CON POLVO CONTIENE:AMPICILINA SODICA EQUIVALENTE A 500 MG DE AMPICILINA. ENVASE CON UN FRASCO AMPULA Y 2 ML DE DILUYENTE.
010.000.4275.00|010.000.4275.00|AMPRENAVIR CAPSULA CADA CAPSULA CONTIENE: AMPRENAVIR 150 MG. ENVASE CON 240 CAPSULAS.
010.000.6043.00|010.000.6043.00|ASUNAPREVIR CAPSULA CADA CAPSULA CONTIENE: ASUNAPREVIR 100 MG ENVASE CON 56 CAPSULAS.
010.000.4266.00|010.000.4266.00|ATAZANAVIR CAPSULA CADA CAPSULA CONTIENE: SULFATO DE ATAZANAVIR EQUIVALENTE A 300 MG DE ATAZANAVIR. ENVASE CON 30 CAPSULAS.
010.000.4267.00|010.000.4267.00|ATAZANAVIR CAPSULA CADA CAPSULA CONTIENE: SULFATO DE ATAZANAVIR EQUIVALENTE A 200 MG DE ATAZANAVIR. ENVASE CON 60 CAPSULAS.
010.000.1969.00|010.000.1969.00|AZITROMICINA TABLETA CADA TABLETA CONTIENE: AZITROMICINA DIHIDRATADA EQUIVALENTE A 500 MG DE AZITROMICINA ENVASE CON 3 TABLETAS.
010.000.1969.01|010.000.1969.01|AZITROMICINA TABLETA CADA TABLETA CONTIENE: AZITROMICINA DIHIDRATADA EQUIVALENTE A 500 MG DE AZITROMICINA ENVASE CON 4 TABLETAS.
010.000.1921.00|010.000.1921.00|BENCILPENICILINA SODICA CRISTALINA SOLUCION INYECTABLE CADA FRASCO AMPULA CON POLVO CONTIENE: BENCILPENICILINA SODICA CRISTALINA EQUIVALENTE A 1000 000 UI DE BENCILPENICILINA. ENVASE CON UN FRASCO AMPULA, CON O SIN 2 ML DE DILUYENTE.
010.000.1933.00|010.000.1933.00|BENCILPENICILINA SODICA CRISTALINA SOLUCION INYECTABLE CADA FRASCO AMPULA CON POLVO CONTIENE: BENCILPENICILINA SODICA CRISTALINA EQUIVALENTE A 5 000 000 UI DE BENCILPENICILINA. ENVASE CON UN FRASCO AMPULA.
010.000.5313.00|010.000.5313.00|CASPOFUNGINA SOLUCION INYECTABLE CADA FRASCO AMPULA CON POLVO CONTIENE: ACETATO DE CASPOFUNGINA EQUIVALENTE A 50 MG DE CASPOFUNGINA. ENVASE CON FRASCO AMPULA CON POLVO PARA 10.5 ML (5 MG/ML).
010.000.5314.00|010.000.5314.00|CASPOFUNGINA SOLUCION INYECTABLE CADA FRASCO AMPULA CON POLVO CONTIENE: ACETATO DE CASPOFUNGINA EQUIVALENTE A 70 MG DE CASPOFUNGINA. ENVASE CON FRASCO AMPULA CON POLVO PARA 10.5 ML (7 MG/ML).
